date,close,volume,open,high,low
2017/04/12,896.23,2451575,903.09,904.09,895.2501
2017/04/11,902.36,3008307,907.04,911.24,897.5
2017/04/10,907.04,3180999,899.63,908.51,899
2017/04/07,894.88,3708367,899.65,900.09,889.31
2017/04/06,898.28,6338183,913.8,917.1899,894.4927
2017/04/05,909.28,7497229,910.82,923.72,905.62
2017/04/04,906.83,4976736,891.5,908.5384,890.28
2017/04/03,891.51,3418998,888,893.49,885.42
2017/03/31,886.54,3949283,877,890.35,876.65
2017/03/30,876.34,2758154,874.95,877.06,871.66
2017/03/29,874.32,4479102,859.05,876.438,859.02
2017/03/28,856,3037117,851.75,858.46,850.1
2017/03/27,846.82,2754903,838.07,850.3,833.5
2017/03/24,845.61,2135812,851.68,851.8,843.53
2017/03/23,847.38,1947627,848.2,850.89,844.8
2017/03/22,848.06,2652225,840.43,849.37,839.05
2017/03/21,843.2,4376927,858.84,862.795,841.31
2017/03/20,856.97,2261699,851.51,857.8,851.01
2017/03/17,852.31,3383423,853.49,853.83,850.64
2017/03/16,853.42,1841507,855.3,855.5,850.51
2017/03/15,852.97,2559702,854.33,854.45,847.11
2017/03/14,852.53,2129358,853.55,853.75,847.55
2017/03/13,854.59,1906941,851.77,855.69,851.71
2017/03/10,852.46,2434254,857,857.35,851.72
2017/03/09,853,2043932,851,856.3999,850.31
2017/03/08,850.5,2286974,848,853.07,846.79
2017/03/07,846.02,2246216,845.48,848.46,843.75
2017/03/06,846.61,2609139,845.23,848.49,841.12
2017/03/03,849.88,1948195,847.2,851.985,846.27
2017/03/02,848.91,2130010,853.08,854.82,847.28
2017/03/01,853.08,2758169,853.05,854.83,849.01
2017/02/28,845.04,2787892,851.45,854.09,842.05
2017/02/27,848.64,2703855,842.38,852.5,839.67
2017/02/24,845.24,3684473,844.69,845.81,837.7501
2017/02/23,852.19,3459287,857.57,860.86,848
2017/02/22,855.61,2615385,856.95,858.43,852.18
2017/02/21,856.44,3506621,848.84,857.98,847.25
2017/02/17,845.07,3036616,842,847.27,840.73
2017/02/16,844.14,2710595,841.84,845,839.375
2017/02/15,842.7,2960469,834,842.81,832.82
2017/02/14,836.39,2789377,837,838.31,831.4522
2017/02/13,836.53,4167521,831.62,842.9999,828.55
2017/02/10,827.46,2427817,823.82,828,822.85
2017/02/09,821.36,2482464,821.6,825,819.71
2017/02/08,819.71,2856058,812.69,821.479,812.5
2017/02/07,812.5,3463842,809.31,816.16,807.5
2017/02/06,807.64,3827284,809.8,810.72,803
2017/02/03,810.2,10855610,806.72,818.3,804
2017/02/02,839.95,7043095,836.59,842.49,828.26
2017/02/01,832.35,3831319,829.21,833.78,824.94
2017/01/31,823.48,3129269,823.75,826.99,819.56
2017/01/30,830.38,3681441,833,833.5,816.38
2017/01/27,835.77,2994700,839,839.7,829.44
2017/01/26,839.15,3571395,835.53,843.84,833
2017/01/25,836.52,3931475,825.79,837.4183,825.288
2017/01/24,822.44,2967753,822,823.99,814.5
2017/01/23,817.88,2794228,806.8,818.5,805.08
2017/01/20,808.33,3373183,815.28,816.02,806.26
2017/01/19,809.04,2529569,810,813.51,807.32
2017/01/18,807.48,2344879,809.5,811.73,804.27
2017/01/17,809.72,3668111,815.7,816,803.44
2017/01/13,817.14,3777135,814.32,821.65,811.4
2017/01/12,813.64,4865798,800.31,814.13,799.5
2017/01/11,799.02,2986267,793.66,799.5,789.51
2017/01/10,795.9,2557640,796.6,798,789.5434
