date,close,open,high,low,daily_pct_change,SMA20,SMA50,SMA100,SMA200,trend,signal,position,balance_roll
2010-03-08,130.11,128.3,130.85,127.71,0.93,120.82450000000001,125.0817599999999,124.54774900000008,104.6058495,bearish,0.0,0.0,50482.8
2010-03-09,128.82,129.59,130.81,127.97,-0.99,121.42400000000002,124.8793599999999,124.88764900000007,104.87014950000001,bearish,0.0,0.0,50482.8
2010-03-10,130.51,129.11,131.17,128.48,1.31,122.04800000000003,124.72015999999991,125.21814900000008,105.1444995,bearish,0.0,0.0,50482.8
2010-03-11,133.58,130.45,133.62,130.36,2.35,122.85900000000001,124.6055599999999,125.59384900000008,105.42044950000002,bearish,0.0,0.0,50482.8
2010-03-12,131.82,134.2,134.2,131.18,-1.32,123.44550000000001,124.45375999999989,125.95884900000009,105.69404950000002,bearish,0.0,0.0,50482.8
2010-03-15,131.13,131.7,132.0,128.63,-0.52,124.01900000000003,124.3465599999999,126.32334900000006,105.96144950000001,bearish,0.0,0.0,50482.8
2010-03-16,131.79,131.24,132.29,130.5,0.5,124.73200000000001,124.29195999999989,126.69144900000009,106.23044950000002,bullish,1.0,0.0,50482.8
2010-03-17,131.34,132.41,132.694,131.22,-0.34,125.48350000000002,124.2407599999999,127.07064900000009,106.47189950000002,bullish,0.0,1324.1,49158.7
2010-03-18,132.76,131.02,132.85,130.44,1.08,126.21750000000002,124.2021599999999,127.46374900000008,106.7110495,bullish,0.0,0.0,49158.7
2010-03-19,130.35,133.71,133.71,129.66,-1.82,126.85900000000001,124.16415999999992,127.58234900000008,106.9343995,bullish,0.0,0.0,49158.7
2010-03-22,130.47,130.2,130.96,128.64,0.09,127.482,124.17355999999992,127.64065000000008,107.1591495,bullish,0.0,0.0,49158.7
2010-03-23,129.26,130.89,130.94,128.07,-0.93,128.083,124.08835999999992,127.71255000000008,107.36764949999998,bullish,0.0,0.0,49158.7
2010-03-24,128.04,128.64,129.4,127.2,-0.94,128.499,124.04299999999992,127.7765500000001,107.5760495,bullish,0.0,0.0,49158.7
2010-03-25,134.73,129.14,136.91,128.04,5.22,129.3255,124.1905999999999,127.8980800000001,107.81429949999998,bullish,0.0,0.0,49158.7
2010-03-26,135.06,134.895,136.99,133.76,0.24,130.1585,124.30959999999992,128.0605800000001,108.05664949999999,bullish,0.0,0.0,49158.7
2010-03-29,135.12,135.37,136.63,134.33,0.04,130.6875,124.4649999999999,128.2233800000001,108.30379949999998,bullish,0.0,0.0,49158.7
2010-03-30,136.579,135.74,138.19,135.36,1.08,131.23995,124.6537799999999,128.4054700000001,108.56629449999998,bullish,0.0,0.0,49158.7
2010-03-31,135.77,136.0,136.8,134.48,-0.59,131.73395,124.81697999999992,128.5921700000001,108.82924449999999,bullish,0.0,0.0,49158.7
2010-04-01,131.81,135.8,136.51,131.18,-2.92,131.89794999999998,124.93757999999993,128.7041700000001,109.07754449999999,bullish,0.0,0.0,49158.7
2010-04-05,131.49,132.85,133.74,130.78,-0.24,132.02695,125.03497999999992,128.75707000000008,109.32174449999998,bullish,0.0,0.0,49158.7
2010-04-06,135.56,131.23,136.0,131.18,3.1,132.29944999999998,125.31757999999992,128.84597000000008,109.59156949999999,bullish,0.0,0.0,49158.7
2010-04-07,134.87,135.96,136.08,133.86,-0.51,132.60194999999996,125.60877999999991,128.89317000000008,109.85111949999998,bullish,0.0,0.0,49158.7
2010-04-08,140.96,134.71,141.25,134.71,4.52,133.12444999999997,126.03837999999992,129.00367000000008,110.16016949999998,bullish,0.0,0.0,49158.7
2010-04-09,140.06,140.72,141.33,139.07,-0.64,133.44844999999998,126.38457999999993,129.09897000000007,110.47206949999998,bullish,0.0,0.0,49158.7
